p3,p1_conf,p2,p3_conf,timestamp,retweet_count,truncated,img_num,text,name,p1,p2_dog,favorite_count,tweet_id,rating_numerator,jpg_url,p1_dog,retweeted,source,rating_denominator,p2_conf,p3_dog,dog_stages
Shetland Sheepdog,0.465074,Collie,0.0614285,2015-11-15 22:32:08+00:00,532,False,1,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,None,Welsh Springer Spaniel,True,2535,666020888022790149,8,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,True,False,Twitter for iPhone,10,0.156665,True,None
Rhodesian Ridgeback,0.506826,Miniature Pinscher,0.07201,2015-11-15 23:05:30+00:00,48,False,1,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,None,Redbone,True,132,666029285002620928,7,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,True,False,Twitter for iPhone,10,0.0741916999999999,True,None
Bloodhound,0.596461,Malinois,0.116197,2015-11-15 23:21:54+00:00,47,False,1,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,None,German Shepherd,True,128,666033412701032449,9,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,True,False,Twitter for iPhone,10,0.1385839999999999,True,None
Miniature Pinscher,0.408143,Redbone,0.222752,2015-11-16 00:04:52+00:00,147,False,1,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,None,Rhodesian Ridgeback,True,311,666044226329800704,6,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,True,False,Twitter for iPhone,10,0.360687,True,None
Doberman,0.560311,Rottweiler,0.154629,2015-11-16 00:24:50+00:00,41,False,1,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,None,Miniature Pinscher,True,111,666049248165822465,5,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,True,False,Twitter for iPhone,10,0.243682,True,None
Greater Swiss Mountain Dog,0.651137,English Springer,0.0161992,2015-11-16 00:30:50+00:00,60,False,1,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,None,Bernese Mountain Dog,True,136,666050758794694657,10,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,True,False,Twitter for iPhone,10,0.263788,True,None
Terrapin,0.933012,Mud Turtle,0.0178852999999999,2015-11-16 00:35:11+00:00,879,False,1,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,None,Box Turtle,False,1253,666051853826850816,2,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,False,False,Twitter for iPhone,10,0.0458854,False,None
Fur Coat,0.692517,Tibetan Mastiff,0.0544486,2015-11-16 00:49:46+00:00,261,False,1,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,None,Chow,True,448,666055525042405380,10,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,True,False,Twitter for iPhone,10,0.0582793999999999,False,None
Golden Retriever,0.962465,Shopping Basket,0.00795896,2015-11-16 00:55:59+00:00,146,False,1,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,None,Shopping Cart,False,304,666057090499244032,9,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,False,False,Twitter for iPhone,10,0.0145937999999999,True,None
Soft-Coated Wheaten Terrier,0.201493,Komondor,0.0820861,2015-11-16 01:01:59+00:00,61,False,1,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,None,Miniature Poodle,True,115,666058600524156928,8,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,True,False,Twitter for iPhone,10,0.192305,True,None
